Date,Tournament,Surface,Best of,Winner,Loser,WRank,LRank,PSW,PSL
12/12/2025,Paris,Hard,3,Stahl F.,Zeller P.,183,240,1.17,5.88
12/12/2025,Paris,Hard,3,Cerny G.,Lindqvist D.,30,114,1.12,7.45
12/12/2025,Paris,Hard,3,Novak Z.,Xenos I.,147,219,1.35,3.52
13/12/2025,Paris,Hard,3,Dorn F.,Eklund M.,39,51,1.78,2.16
13/12/2025,Paris,Hard,3,Pires V.,Tanner A.,159,186,1.65,2.38
13/12/2025,Paris,Hard,3,Kovac M.,Rossi P.,105,174,1.41,3.18
13/12/2025,Paris,Hard,3,Tanner V.,Jansen O.,192,96,5.72,1.18
13/12/2025,Paris,Hard,3,Hale V.,Quist J.,84,162,1.4,3.21
13/12/2025,Paris,Hard,3,Engel Y.,Hale E.,54,78,1.62,2.46
13/12/2025,Paris,Hard,3,Abbott K.,Cerny G.,6,30,1.62,2.45
13/12/2025,Paris,Hard,3,Gomez U.,Tanner W.,69,195,1.17,5.87
13/12/2025,Paris,Hard,3,Quist Z.,Tanner N.,165,189,1.94,1.96
13/12/2025,Paris,Hard,3,Abbott E.,Rossi N.,3,171,1.06,12.06
13/12/2025,Paris,Hard,3,Dorn R.,Cerny J.,42,33,1.92,1.98
13/12/2025,Paris,Hard,3,Mertens D.,Gomez Q.,120,66,2.54,1.58
13/12/2025,Paris,Hard,3,Mertens W.,Falk U.,135,60,3.48,1.36
13/12/2025,Paris,Hard,3,Brook T.,Jansen D.,21,93,1.04,16.69
13/12/2025,Paris,Hard,3,Falk N.,Pires G.,57,153,1.28,4.08
14/12/2025,Paris,Hard,3,Kovac M.,Stahl F.,105,183,1.47,2.89
14/12/2025,Paris,Hard,3,Quist J.,Hale C.,162,75,3.33,1.38
14/12/2025,Paris,Hard,3,Barros J.,Cerny J.,15,33,1.42,3.1
14/12/2025,Paris,Hard,3,Varga D.,Young X.,204,237,1.42,3.11
14/12/2025,Paris,Hard,3,Mertens O.,Hale F.,129,81,2.15,1.78
14/12/2025,Paris,Hard,3,Castell K.,Xenos U.,27,225,1.02,21.36
14/12/2025,Paris,Hard,3,Xenos Z.,Zeller P.,228,240,1.59,2.51
14/12/2025,Paris,Hard,3,Eklund B.,Varga G.,48,207,1.18,5.69
14/12/2025,Paris,Hard,3,Falk U.,Rossi A.,60,168,1.47,2.9
14/12/2025,Paris,Hard,3,Novak Z.,Mertens M.,147,126,2.16,1.78
14/12/2025,Paris,Hard,3,Gomez Q.,Hale E.,66,78,1.81,2.12
14/12/2025,Paris,Hard,3,Arden R.,Laurent W.,12,111,1.24,4.62
14/12/2025,Paris,Hard,3,Mertens D.,Laurent Q.,120,108,1.95,1.95
14/12/2025,Paris,Hard,3,Holm N.,Tanner A.,87,186,1.28,4.13
15/12/2025,Paris,Hard,3,Mertens F.,Varga D.,123,204,1.77,2.17
15/12/2025,Paris,Hard,3,Gomez X.,Stahl C.,72,180,1.34,3.59
15/12/2025,Paris,Hard,3,Rossi P.,Tanner V.,174,192,2.0,1.9
15/12/2025,Paris,Hard,3,Novak Z.,Jansen O.,147,96,2.25,1.72
15/12/2025,Paris,Hard,3,Hale E.,Mertens W.,78,135,1.56,2.61
15/12/2025,Paris,Hard,3,Nadeau A.,Cerny Q.,138,36,4.3,1.26
15/12/2025,Paris,Hard,3,Tanner N.,Pires P.,189,156,2.12,1.81
15/12/2025,Paris,Hard,3,Arden H.,Ulrich Z.,9,201,1.05,13.37
15/12/2025,Paris,Hard,3,Pires G.,Mertens D.,153,120,2.61,1.56
15/12/2025,Paris,Hard,3,Cerny G.,Stahl F.,30,183,1.11,8.06
15/12/2025,Paris,Hard,3,Hale C.,Laurent Q.,75,108,1.62,2.46
15/12/2025,Paris,Hard,3,Falk N.,Lindqvist W.,57,117,1.5,2.78
16/12/2025,Paris,Hard,3,Castell H.,Mertens O.,24,129,1.17,5.81
16/12/2025,Paris,Hard,3,Rossi N.,Tanner N.,171,189,1.84,2.07
16/12/2025,Paris,Hard,3,Zeller P.,Young W.,240,234,1.87,2.04
16/12/2025,Paris,Hard,3,Tanner Y.,Xenos O.,198,222,1.48,2.87
16/12/2025,Paris,Hard,3,Young X.,Quist Z.,237,165,6.62,1.14
16/12/2025,Paris,Hard,3,Falk U.,Mertens M.,60,126,1.51,2.76
16/12/2025,Paris,Hard,3,Pires G.,Tanner W.,153,195,1.23,4.79
16/12/2025,Paris,Hard,3,Arden H.,Xenos U.,9,225,1.01,32.52
16/12/2025,Paris,Hard,3,Weiss F.,Weiss L.,213,216,1.77,2.17
16/12/2025,Paris,Hard,3,Cerny J.,Young V.,33,231,1.02,23.67
16/12/2025,Paris,Hard,3,Arden R.,Dorn F.,12,39,1.5,2.81
17/12/2025,Paris,Hard,3,Holm N.,Xenos I.,87,219,1.05,13.32
17/12/2025,Paris,Hard,3,Jansen D.,Pires P.,93,156,1.53,2.69
17/12/2025,Paris,Hard,3,Castell H.,Xenos Z.,24,228,1.17,5.91
17/12/2025,Paris,Hard,3,Falk N.,Hale F.,57,81,1.64,2.41
17/12/2025,Paris,Hard,3,Brook T.,Xenos O.,21,222,1.08,10.01
17/12/2025,Paris,Hard,3,Hale C.,Kovac M.,75,105,1.72,2.26
17/12/2025,Paris,Hard,3,Rossi Q.,Tanner A.,177,186,1.73,2.24
17/12/2025,Paris,Hard,3,Hale V.,Rossi P.,84,174,1.54,2.66
17/12/2025,Paris,Hard,3,Gomez Q.,Tanner Y.,66,198,1.2,5.25
17/12/2025,Paris,Hard,3,Gomez X.,Laurent Q.,72,108,1.95,1.95
17/12/2025,Paris,Hard,3,Keller A.,Eklund M.,102,51,3.71,1.32
17/12/2025,Paris,Hard,3,Jovic F.,Tanner W.,99,195,1.44,3.02
17/12/2025,Paris,Hard,3,Weiss L.,Zeller P.,216,240,1.38,3.31
17/12/2025,Paris,Hard,3,Pires V.,Jansen O.,159,96,2.96,1.46
17/12/2025,Paris,Hard,3,Falk U.,Rossi A.,60,168,1.34,3.6
18/12/2025,Paris,Hard,3,Tanner Y.,Xenos U.,198,225,1.57,2.58
18/12/2025,Paris,Hard,3,Jansen O.,Xenos O.,96,222,1.1,8.59
18/12/2025,Paris,Hard,3,Ulrich Z.,Varga R.,201,210,2.03,1.88
18/12/2025,Paris,Hard,3,Hale E.,Young W.,78,234,1.11,7.95
18/12/2025,Paris,Hard,3,Castell H.,Novak Z.,24,147,1.18,5.74
18/12/2025,Paris,Hard,3,Weiss F.,Zeller P.,213,240,1.12,7.65
18/12/2025,Paris,Hard,3,Cerny J.,Mertens R.,33,132,1.11,7.94
18/12/2025,Paris,Hard,3,Eklund M.,Jovic F.,51,99,1.45,3.0
18/12/2025,Paris,Hard,3,Pires P.,Barros X.,156,18,6.65,1.14
18/12/2025,Paris,Hard,3,Mertens M.,Laurent W.,126,111,2.3,1.7
18/12/2025,Paris,Hard,3,Pires G.,Jansen D.,153,93,2.55,1.58
18/12/2025,Paris,Hard,3,Lindqvist W.,Nadeau L.,117,141,1.95,1.96
18/12/2025,Paris,Hard,3,Rossi Q.,Keller A.,177,102,2.69,1.53
19/12/2025,Paris,Hard,3,Cerny J.,Rossi Q.,33,177,1.13,7.23
19/12/2025,Paris,Hard,3,Gomez U.,Young X.,69,237,1.09,9.2
19/12/2025,Paris,Hard,3,Mertens F.,Young W.,123,234,1.11,8.25
19/12/2025,Paris,Hard,3,Castell H.,Quist Z.,24,165,1.11,8.3
19/12/2025,Paris,Hard,3,Ulrich Z.,Xenos I.,201,219,1.77,2.17
19/12/2025,Paris,Hard,3,Tanner V.,Dorn R.,192,42,6.86,1.14
19/12/2025,Paris,Hard,3,Cerny G.,Lindqvist W.,30,117,1.34,3.62
19/12/2025,Paris,Hard,3,Barros X.,Duval N.,18,45,1.57,2.57
19/12/2025,Paris,Hard,3,Lindqvist D.,Holm N.,114,87,1.8,2.13
19/12/2025,Paris,Hard,3,Hale E.,Weiss F.,78,213,1.14,6.87
19/12/2025,Paris,Hard,3,Weiss L.,Rossi N.,216,171,4.08,1.28
19/12/2025,Paris,Hard,3,Stahl C.,Tanner A.,180,186,2.42,1.63
20/12/2025,Paris,Hard,3,Novak Z.,Young V.,147,231,1.19,5.46
20/12/2025,Paris,Hard,3,Falk U.,Hale V.,60,84,1.7,2.3
20/12/2025,Paris,Hard,3,Abbott E.,Ionescu P.,3,90,1.12,7.75
20/12/2025,Paris,Hard,3,Dorn F.,Hale F.,39,81,1.45,2.99
20/12/2025,Paris,Hard,3,Cerny G.,Weiss F.,30,213,1.01,32.52
20/12/2025,Paris,Hard,3,Hale E.,Cerny J.,78,33,3.0,1.45
20/12/2025,Paris,Hard,3,Keller A.,Ostrov G.,102,150,1.77,2.18
20/12/2025,Paris,Hard,3,Nadeau L.,Lindqvist W.,141,117,2.34,1.67
20/12/2025,Paris,Hard,3,Barros J.,Mertens D.,15,120,1.12,7.64
20/12/2025,Paris,Hard,3,Quist J.,Varga R.,162,210,1.39,3.28
20/12/2025,Paris,Hard,3,Duval N.,Arden R.,45,12,2.39,1.65
20/12/2025,Paris,Hard,3,Ulrich Z.,Xenos Z.,201,228,1.37,3.41
20/12/2025,Paris,Hard,3,Eklund B.,Mertens F.,48,123,1.47,2.91
20/12/2025,Paris,Hard,3,Mertens R.,Pires P.,132,156,1.58,2.55
21/12/2025,Paris,Hard,3,Eklund B.,Rossi P.,48,174,1.19,5.41
21/12/2025,Paris,Hard,3,Nadeau A.,Holm N.,138,87,2.55,1.58
21/12/2025,Paris,Hard,3,Cerny G.,Ulrich Z.,30,201,1.01,32.52
21/12/2025,Paris,Hard,3,Hale E.,Castell K.,78,27,2.9,1.47
21/12/2025,Paris,Hard,3,Laurent Q.,Weiss F.,108,213,1.2,5.15
21/12/2025,Paris,Hard,3,Barros J.,Varga R.,15,210,1.01,32.52
21/12/2025,Paris,Hard,3,Keller A.,Brook T.,102,21,4.13,1.28
21/12/2025,Paris,Hard,3,Tanner W.,Engel Y.,195,54,5.49,1.19
21/12/2025,Paris,Hard,3,Hale V.,Gomez X.,84,72,2.21,1.75
21/12/2025,Paris,Hard,3,Falk N.,Tanner N.,57,189,1.19,5.5
21/12/2025,Paris,Hard,3,Dorn R.,Varga G.,42,207,1.07,11.6
21/12/2025,Paris,Hard,3,Abbott E.,Jansen O.,3,96,1.12,7.63
21/12/2025,Paris,Hard,3,Gomez H.,Novak Z.,63,147,1.36,3.45
22/12/2025,Paris,Hard,3,Ostrov G.,Tanner N.,150,189,1.54,2.66
22/12/2025,Paris,Hard,3,Jansen D.,Varga D.,93,204,1.29,3.99
22/12/2025,Paris,Hard,3,Ulrich Z.,Gomez X.,201,72,3.1,1.42
22/12/2025,Paris,Hard,3,Laurent W.,Mertens D.,111,120,2.07,1.85
22/12/2025,Paris,Hard,3,Dorn F.,Tanner W.,39,195,1.12,7.53
22/12/2025,Paris,Hard,3,Gomez H.,Brook T.,63,21,3.41,1.37
22/12/2025,Paris,Hard,3,Rossi Q.,Holm N.,177,87,4.15,1.28
22/12/2025,Paris,Hard,3,Kovac M.,Hale V.,105,84,2.5,1.6
22/12/2025,Paris,Hard,3,Hale F.,Tanner Y.,81,198,1.36,3.44
22/12/2025,Paris,Hard,3,Duval N.,Gomez U.,45,69,1.92,1.98
22/12/2025,Paris,Hard,3,Novak Z.,Eklund B.,147,48,3.43,1.36
23/12/2025,Paris,Hard,3,Rossi Q.,Xenos U.,177,225,1.34,3.56
23/12/2025,Paris,Hard,3,Falk N.,Eklund M.,57,51,1.86,2.06
23/12/2025,Paris,Hard,3,Duval N.,Dorn F.,45,39,2.4,1.64
23/12/2025,Paris,Hard,3,Rossi N.,Varga G.,171,207,1.49,2.82
23/12/2025,Paris,Hard,3,Gomez H.,Hale E.,63,78,1.73,2.24
23/12/2025,Paris,Hard,3,Rossi A.,Mertens R.,168,132,2.6,1.56
23/12/2025,Paris,Hard,3,Falk U.,Ostrov G.,60,150,1.55,2.63
23/12/2025,Paris,Hard,3,Tanner A.,Lindqvist W.,186,117,11.8,1.06
23/12/2025,Paris,Hard,3,Hale F.,Weiss F.,81,213,1.11,7.82
23/12/2025,Paris,Hard,3,Mertens O.,Young W.,129,234,1.19,5.49
23/12/2025,Paris,Hard,3,Engel Y.,Laurent Q.,54,108,1.47,2.9
24/12/2025,Paris,Hard,3,Jansen O.,Quist J.,96,162,1.48,2.88
24/12/2025,Paris,Hard,3,Dorn F.,Laurent Q.,39,108,1.3,3.95
24/12/2025,Paris,Hard,3,Mertens F.,Tanner W.,123,195,1.56,2.62
24/12/2025,Paris,Hard,3,Jovic F.,Zeller P.,99,240,1.01,32.52
24/12/2025,Paris,Hard,3,Mertens W.,Varga R.,135,210,1.34,3.58
24/12/2025,Paris,Hard,3,Duval N.,Young X.,45,237,1.05,13.66
24/12/2025,Paris,Hard,3,Nadeau L.,Gomez X.,141,72,2.95,1.46
24/12/2025,Paris,Hard,3,Kovac M.,Cerny J.,105,33,3.84,1.31
25/12/2025,Paris,Hard,3,Duval N.,Rossi P.,45,174,1.22,4.85
25/12/2025,Paris,Hard,3,Abbott E.,Cerny G.,3,30,1.35,3.52
25/12/2025,Paris,Hard,3,Gomez X.,Tanner N.,72,189,1.18,5.55
25/12/2025,Paris,Hard,3,Castell K.,Stahl C.,27,180,1.12,7.36
25/12/2025,Paris,Hard,3,Eklund B.,Hale E.,48,78,1.97,1.93
25/12/2025,Paris,Hard,3,Mertens O.,Laurent Q.,129,108,2.12,1.81
25/12/2025,Paris,Hard,3,Barros X.,Castell H.,18,24,1.48,2.85
25/12/2025,Paris,Hard,3,Engel Y.,Eklund M.,54,51,1.99,1.92
25/12/2025,Paris,Hard,3,Dorn F.,Varga G.,39,207,1.22,4.93
25/12/2025,Paris,Hard,3,Arden H.,Jovic F.,9,99,1.29,4.01
25/12/2025,Paris,Hard,3,Abbott K.,Lindqvist W.,6,117,1.17,5.94
25/12/2025,Paris,Hard,3,Cerny J.,Rossi A.,33,168,1.05,14.59
25/12/2025,Paris,Hard,3,Hale C.,Pires V.,75,159,1.62,2.45
26/12/2025,Australian Open,Hard,5,Nadeau A.,Young W.,138,234,1.19,5.38
26/12/2025,Australian Open,Hard,5,Laurent W.,Castell H.,111,24,5.22,1.2
26/12/2025,Australian Open,Hard,5,Pires V.,Xenos I.,159,219,1.5,2.78
26/12/2025,Australian Open,Hard,5,Mertens D.,Xenos Z.,120,228,1.15,6.44
26/12/2025,Australian Open,Hard,5,Mertens O.,Rossi N.,129,171,1.71,2.28
26/12/2025,Australian Open,Hard,5,Hale C.,Tanner V.,75,192,1.3,3.92
26/12/2025,Australian Open,Hard,5,Tanner A.,Tanner N.,186,189,1.73,2.25
26/12/2025,Australian Open,Hard,5,Dorn F.,Varga G.,39,207,1.24,4.59
26/12/2025,Australian Open,Hard,5,Keller A.,Mertens R.,102,132,2.24,1.73
26/12/2025,Australian Open,Hard,5,Kovac M.,Varga R.,105,210,1.23,4.7
26/12/2025,Australian Open,Hard,5,Arden H.,Engel Y.,9,54,1.21,4.98
26/12/2025,Australian Open,Hard,5,Gomez Q.,Falk U.,66,60,1.91,2.0
26/12/2025,Australian Open,Hard,5,Quist Z.,Jansen O.,165,96,2.55,1.58
26/12/2025,Australian Open,Hard,5,Falk N.,Tanner W.,57,195,1.14,6.82
27/12/2025,Australian Open,Hard,5,Varga G.,Lindqvist W.,207,117,3.13,1.42
27/12/2025,Australian Open,Hard,5,Novak H.,Castell K.,144,27,4.12,1.28
27/12/2025,Australian Open,Hard,5,Ostrov G.,Tanner A.,150,186,1.3,3.93
27/12/2025,Australian Open,Hard,5,Nadeau A.,Duval N.,138,45,3.6,1.34
27/12/2025,Australian Open,Hard,5,Dorn R.,Xenos Z.,42,228,1.16,6.27
27/12/2025,Australian Open,Hard,5,Hale V.,Young W.,84,234,1.09,9.28
27/12/2025,Australian Open,Hard,5,Keller A.,Rossi A.,102,168,1.25,4.42
27/12/2025,Australian Open,Hard,5,Castell H.,Stahl F.,24,183,1.08,10.36
27/12/2025,Australian Open,Hard,5,Abbott K.,Novak Z.,6,147,1.06,11.68
27/12/2025,Australian Open,Hard,5,Xenos U.,Varga D.,225,204,2.5,1.6
27/12/2025,Australian Open,Hard,5,Eklund B.,Tanner Y.,48,198,1.19,5.42
28/12/2025,Australian Open,Hard,5,Engel Y.,Hale V.,54,84,1.54,2.67
28/12/2025,Australian Open,Hard,5,Young V.,Xenos U.,231,225,2.54,1.59
28/12/2025,Australian Open,Hard,5,Nadeau L.,Stahl F.,141,183,1.4,3.2
28/12/2025,Australian Open,Hard,5,Hale C.,Tanner Y.,75,198,1.18,5.66
28/12/2025,Australian Open,Hard,5,Falk N.,Kovac M.,57,105,1.53,2.71
28/12/2025,Australian Open,Hard,5,Ionescu P.,Rossi P.,90,174,1.51,2.76
28/12/2025,Australian Open,Hard,5,Xenos O.,Weiss F.,222,213,2.51,1.6
28/12/2025,Australian Open,Hard,5,Jovic F.,Gomez X.,99,72,2.16,1.78
28/12/2025,Australian Open,Hard,5,Falk U.,Mertens W.,60,135,1.34,3.57
28/12/2025,Australian Open,Hard,5,Mertens M.,Hale E.,126,78,2.05,1.86
28/12/2025,Australian Open,Hard,5,Abbott E.,Arden H.,3,9,1.72,2.25
28/12/2025,Australian Open,Hard,5,Novak Z.,Ulrich Z.,147,201,1.35,3.55
28/12/2025,Australian Open,Hard,5,Mertens F.,Mertens O.,123,129,1.7,2.3
28/12/2025,Australian Open,Hard,5,Eklund M.,Pires V.,51,159,1.22,4.84
29/12/2025,Australian Open,Hard,5,Novak H.,Xenos O.,144,222,1.44,3.04
29/12/2025,Australian Open,Hard,5,Hale E.,Young V.,78,231,1.01,32.52
29/12/2025,Australian Open,Hard,5,Eklund B.,Pires P.,48,156,1.35,3.49
29/12/2025,Australian Open,Hard,5,Barros X.,Quist Z.,18,165,1.15,6.52
29/12/2025,Australian Open,Hard,5,Arden R.,Hale C.,12,75,1.29,3.97
29/12/2025,Australian Open,Hard,5,Barros J.,Nadeau A.,15,138,1.07,10.93
29/12/2025,Australian Open,Hard,5,Kovac M.,Gomez Q.,105,66,3.06,1.43
29/12/2025,Australian Open,Hard,5,Xenos Z.,Weiss F.,228,213,3.31,1.38
29/12/2025,Australian Open,Hard,5,Castell K.,Engel Y.,27,54,1.76,2.19
29/12/2025,Australian Open,Hard,5,Pires V.,Gomez H.,159,63,3.72,1.32
29/12/2025,Australian Open,Hard,5,Hale V.,Stahl F.,84,183,1.45,2.99
29/12/2025,Australian Open,Hard,5,Mertens M.,Mertens W.,126,135,2.01,1.9
29/12/2025,Australian Open,Hard,5,Mertens R.,Varga G.,132,207,1.35,3.53
30/12/2025,Australian Open,Hard,5,Abbott K.,Gomez X.,6,72,1.09,9.02
30/12/2025,Australian Open,Hard,5,Abbott E.,Hale C.,3,75,1.09,9.06
30/12/2025,Australian Open,Hard,5,Mertens D.,Pires V.,120,159,1.53,2.7
30/12/2025,Australian Open,Hard,5,Arden R.,Xenos O.,12,222,1.01,32.52
30/12/2025,Australian Open,Hard,5,Hale E.,Keller A.,78,102,1.65,2.39
30/12/2025,Australian Open,Hard,5,Varga R.,Lindqvist D.,210,114,4.27,1.26
30/12/2025,Australian Open,Hard,5,Weiss F.,Stahl C.,213,180,3.04,1.44
30/12/2025,Australian Open,Hard,5,Rossi Q.,Stahl F.,177,183,1.79,2.15
30/12/2025,Australian Open,Hard,5,Quist J.,Nadeau L.,162,141,1.79,2.14
31/12/2025,Australian Open,Hard,5,Arden H.,Cerny Q.,9,36,1.44,3.04
31/12/2025,Australian Open,Hard,5,Mertens M.,Laurent W.,126,111,1.87,2.04
31/12/2025,Australian Open,Hard,5,Falk N.,Keller A.,57,102,1.51,2.75
31/12/2025,Australian Open,Hard,5,Rossi N.,Xenos U.,171,225,1.26,4.3
31/12/2025,Australian Open,Hard,5,Eklund M.,Laurent Q.,51,108,1.61,2.48
31/12/2025,Australian Open,Hard,5,Arden R.,Rossi P.,12,174,1.1,8.44
31/12/2025,Australian Open,Hard,5,Abbott E.,Ulrich Z.,3,201,1.04,14.76
31/12/2025,Australian Open,Hard,5,Tanner A.,Lindqvist W.,186,117,3.2,1.4
31/12/2025,Australian Open,Hard,5,Pires G.,Holm N.,153,87,3.03,1.44
31/12/2025,Australian Open,Hard,5,Barros X.,Stahl C.,18,180,1.02,23.26
31/12/2025,Australian Open,Hard,5,Engel Y.,Duval N.,54,45,2.55,1.58
31/12/2025,Australian Open,Hard,5,Abbott K.,Hale F.,6,81,1.15,6.48
31/12/2025,Australian Open,Hard,5,Rossi A.,Nadeau A.,168,138,2.09,1.83
31/12/2025,Australian Open,Hard,5,Mertens O.,Novak Z.,129,147,1.85,2.07
01/01/2026,Australian Open,Hard,5,Cerny G.,Rossi P.,30,174,1.05,14.2
01/01/2026,Australian Open,Hard,5,Duval N.,Quist J.,45,162,1.15,6.39
01/01/2026,Australian Open,Hard,5,Abbott K.,Ionescu P.,6,90,1.18,5.61
01/01/2026,Australian Open,Hard,5,Falk N.,Xenos I.,57,219,1.14,6.6
01/01/2026,Australian Open,Hard,5,Nadeau A.,Keller A.,138,102,2.42,1.63
01/01/2026,Australian Open,Hard,5,Laurent Q.,Mertens D.,108,120,1.75,2.2
01/01/2026,Australian Open,Hard,5,Gomez H.,Falk U.,63,60,1.71,2.27
01/01/2026,Australian Open,Hard,5,Nadeau L.,Novak H.,141,144,1.83,2.09
01/01/2026,Australian Open,Hard,5,Tanner Y.,Young V.,198,231,1.58,2.54
01/01/2026,Australian Open,Hard,5,Engel Y.,Mertens R.,54,132,1.48,2.87
01/01/2026,Australian Open,Hard,5,Arden R.,Novak Z.,12,147,1.22,4.91
02/01/2026,Australian Open,Hard,5,Eklund B.,Dorn F.,48,39,2.1,1.82
02/01/2026,Australian Open,Hard,5,Barros J.,Zeller P.,15,240,1.11,8.29
02/01/2026,Australian Open,Hard,5,Varga G.,Dorn R.,207,42,5.0,1.21
02/01/2026,Australian Open,Hard,5,Hale F.,Rossi N.,81,171,1.35,3.54
02/01/2026,Australian Open,Hard,5,Lindqvist D.,Keller A.,114,102,1.88,2.02
02/01/2026,Australian Open,Hard,5,Quist Z.,Weiss L.,165,216,1.47,2.92
02/01/2026,Australian Open,Hard,5,Engel Y.,Pires G.,54,153,1.42,3.13
02/01/2026,Australian Open,Hard,5,Nadeau A.,Rossi Q.,138,177,1.71,2.26
02/01/2026,Australian Open,Hard,5,Novak Z.,Hale E.,147,78,3.4,1.37
03/01/2026,Australian Open,Hard,5,Cerny J.,Holm N.,33,87,1.31,3.86
03/01/2026,Australian Open,Hard,5,Castell K.,Nadeau A.,27,138,1.21,4.97
03/01/2026,Australian Open,Hard,5,Rossi N.,Mertens M.,171,126,1.91,2.0
03/01/2026,Australian Open,Hard,5,Lindqvist D.,Xenos O.,114,222,1.27,4.22
03/01/2026,Australian Open,Hard,5,Quist J.,Xenos I.,162,219,1.36,3.46
03/01/2026,Australian Open,Hard,5,Gomez Q.,Xenos U.,66,225,1.01,28.15
03/01/2026,Australian Open,Hard,5,Eklund M.,Cerny Q.,51,36,1.87,2.04
03/01/2026,Australian Open,Hard,5,Engel Y.,Stahl F.,54,183,1.25,4.5
03/01/2026,Australian Open,Hard,5,Eklund B.,Xenos Z.,48,228,1.01,32.52
03/01/2026,Australian Open,Hard,5,Arden R.,Pires G.,12,153,1.09,8.98
03/01/2026,Australian Open,Hard,5,Mertens R.,Hale F.,132,81,2.67,1.54
03/01/2026,Australian Open,Hard,5,Rossi Q.,Hale V.,177,84,2.58,1.57
03/01/2026,Australian Open,Hard,5,Falk N.,Ulrich Z.,57,201,1.17,5.97
03/01/2026,Australian Open,Hard,5,Jansen O.,Young W.,96,234,1.23,4.74
03/01/2026,Australian Open,Hard,5,Barros J.,Tanner V.,15,192,1.03,19.0
04/01/2026,Australian Open,Hard,5,Cerny J.,Young V.,33,231,1.12,7.51
04/01/2026,Australian Open,Hard,5,Ionescu P.,Pires P.,90,156,1.85,2.06
04/01/2026,Australian Open,Hard,5,Castell H.,Quist J.,24,162,1.06,11.75
04/01/2026,Australian Open,Hard,5,Laurent Q.,Stahl F.,108,183,1.51,2.77
04/01/2026,Australian Open,Hard,5,Eklund M.,Jansen D.,51,93,1.56,2.6
04/01/2026,Australian Open,Hard,5,Barros J.,Keller A.,15,102,1.22,4.93
04/01/2026,Australian Open,Hard,5,Dorn F.,Kovac M.,39,105,1.37,3.38
04/01/2026,Australian Open,Hard,5,Lindqvist W.,Ulrich Z.,117,201,1.18,5.69
05/01/2026,Australian Open,Hard,5,Rossi P.,Rossi Q.,174,177,1.65,2.38
05/01/2026,Australian Open,Hard,5,Tanner Y.,Mertens M.,198,126,2.78,1.5
05/01/2026,Australian Open,Hard,5,Cerny G.,Mertens F.,30,123,1.46,2.95
05/01/2026,Australian Open,Hard,5,Jansen O.,Xenos Z.,96,228,1.14,6.63
05/01/2026,Australian Open,Hard,5,Arden R.,Nadeau L.,12,141,1.14,6.6
05/01/2026,Australian Open,Hard,5,Arden H.,Young W.,9,234,1.01,32.52
05/01/2026,Australian Open,Hard,5,Hale V.,Eklund M.,84,51,2.19,1.76
05/01/2026,Australian Open,Hard,5,Cerny Q.,Hale F.,36,81,1.33,3.65
05/01/2026,Australian Open,Hard,5,Brook T.,Weiss L.,21,216,1.01,32.52
05/01/2026,Australian Open,Hard,5,Cerny J.,Young X.,33,237,1.01,32.52
06/01/2026,Australian Open,Hard,5,Mertens R.,Xenos Z.,132,228,1.12,7.49
06/01/2026,Australian Open,Hard,5,Ostrov G.,Stahl C.,150,180,1.79,2.14
06/01/2026,Australian Open,Hard,5,Gomez X.,Jansen O.,72,96,1.49,2.83
06/01/2026,Australian Open,Hard,5,Gomez H.,Young W.,63,234,1.13,7.02
06/01/2026,Australian Open,Hard,5,Brook T.,Eklund M.,21,51,1.55,2.63
06/01/2026,Australian Open,Hard,5,Pires G.,Lindqvist W.,153,117,2.0,1.91
06/01/2026,Australian Open,Hard,5,Nadeau A.,Tanner N.,138,189,1.38,3.34
06/01/2026,Australian Open,Hard,5,Hale V.,Rossi Q.,84,177,1.52,2.73
06/01/2026,Australian Open,Hard,5,Arden R.,Cerny Q.,12,36,1.63,2.43
06/01/2026,Australian Open,Hard,5,Hale C.,Abbott K.,75,6,8.62,1.1
06/01/2026,Australian Open,Hard,5,Abbott E.,Quist Z.,3,165,1.01,32.52
06/01/2026,Australian Open,Hard,5,Pires P.,Rossi A.,156,168,1.72,2.25
06/01/2026,Australian Open,Hard,5,Dorn R.,Varga R.,42,210,1.11,8.04
06/01/2026,Australian Open,Hard,5,Castell K.,Cerny J.,27,33,1.7,2.29
06/01/2026,Australian Open,Hard,5,Varga D.,Young X.,204,237,1.26,4.27
07/01/2026,Australian Open,Hard,5,Varga G.,Quist Z.,207,165,2.5,1.6
07/01/2026,Australian Open,Hard,5,Nadeau L.,Quist J.,141,162,1.82,2.1
07/01/2026,Australian Open,Hard,5,Mertens F.,Pires V.,123,159,1.71,2.28
07/01/2026,Australian Open,Hard,5,Xenos O.,Castell K.,222,27,13.83,1.05
07/01/2026,Australian Open,Hard,5,Rossi Q.,Laurent Q.,177,108,2.5,1.6
07/01/2026,Australian Open,Hard,5,Mertens O.,Xenos Z.,129,228,1.23,4.69
07/01/2026,Australian Open,Hard,5,Jansen O.,Ostrov G.,96,150,1.66,2.36
07/01/2026,Australian Open,Hard,5,Mertens M.,Mertens R.,126,132,2.01,1.9
07/01/2026,Australian Open,Hard,5,Lindqvist W.,Gomez H.,117,63,2.79,1.5
07/01/2026,Australian Open,Hard,5,Brook T.,Cerny J.,21,33,1.67,2.35
07/01/2026,Australian Open,Hard,5,Novak H.,Tanner A.,144,186,1.84,2.08
